0.005,103.3
0.01,78.5
0.015,76.9
0.02,74.6
0.025,82.2
0.03,91.3
0.035,69.9
0.04,70.4
0.045,69.8
0.05,71.2
0.055,89.5
0.06,80.2
0.065,84.8
0.07,76.0
0.075,73.0
0.08,76.7
0.085,86.2
0.09,71.8
0.095,70.6
0.1,69.4
0.105,69.0
0.11,69.5
0.115,69.8
0.12,68.8
0.125,69.7
0.13,69.1
0.135,69.0
0.14,69.5
0.145,69.3
0.15,68.5
0.155,68.5
0.16,69.1
0.165,69.3
0.17,68.6
0.175,68.7
0.18,68.4
0.185,69.7
0.19,71.9
0.195,72.8
0.2,72.8
0.205,71.8
0.21,69.3
0.215,68.7
0.22,68.0
0.225,68.3
0.23,68.9
0.235,68.8
0.24,68.3
0.245,69.5
0.25,68.7
